Date,Site,Plot,DOC_Final,TDN_Final,Biomass_C_final,Biomass_N_final,NO3-,NH4+,DIN,DON,ug PO43- P g-1 dry,Soil moisture (%),Slope_1m_Percent,Slope_10m_Percent_Aggreg_Mean,Slope_1m_Degree,Slope_10m_Degree_Aggreg_Mean,Aspect_1m,Aspect_10m_Degree_Aggreg_Mean
20130704,UMC,1,478.7227001,98.31750295,509.0224972,0,4.794240423,8.869525552,13.66376597,84.65373698,0.961118185,6.586826347,18.8,17.5,10.6,9.9,357.7,352.4
20130704,UMC,2,384.4590399,80.73416315,589.2353346,28.85286661,0.838618148,45.10462839,45.94324654,34.79091661,7.756384777,1.397205589,17.8,16.0,10.1,9.1,356.8,339.9
20130704,UMC,3,329.6649646,51.91370071,834.0769288,71.90838346,23.63273347,26.00408364,49.63681711,2.276883599,8.403397014,14.8,21.7,16.6,12.3,9.4,325.3,345.9
20130704,UMC,4,240.1619552,59.22691286,337.1264781,17.4006486,2.110484957,40.50500487,42.61548983,16.61142303,9.398885161,0.8,12.7,14.6,7.2,8.3,327.9,347.0
20130704,UMC,5,223.4505118,78.21862632,143.9351233,5.740948502,33.26924698,34.52447248,67.79371946,10.42490686,7.788990857,4.373757455,12.7,14.7,7.2,8.4,10.2,9.3
20130704,UMC,6,200.052663,30.85317663,139.0720635,6.413666478,0.605517661,22.2139008,22.81941846,8.033758174,2.203939339,0.2,20.1,16.0,11.4,9.1,1.8,1.9
20130704,UMC,7,410.9746169,149.7259527,247.3449106,15.70928009,82.74183084,42.52814578,125.2699766,24.4559761,14.02976484,0.399201597,18.5,16.6,10.5,9.5,6.6,8.4
20130704,UMC,8,243.0819547,50.96923787,112.4150249,6.478443502,9.555387191,23.05323167,32.60861886,18.36061901,9.352587803,2.4,13.4,17.9,7.6,10.1,357.3,1.9
20130704,UMC,9,307.5266184,38.65034187,1248.787468,51.88403426,8.330030912,12.70837613,21.03840705,17.61193482,1.665338215,2,29.5,24.9,16.5,14.0,137.1,158.7
20130704,UMC,10,100.3748539,12.11132699,453.8785571,27.60965392,1.316632817,3.544594667,4.861227484,7.250099506,-0.448035604,0.8,27.1,21.2,15.1,12.0,137.2,142.1
20130704,UMC,11,279.5678182,21.38689554,856.8681635,58.67876221,1.202954455,6.600028779,7.802983234,13.58391231,-0.153192689,11.17764471,22.9,12.8,12.9,7.3,26.6,17.0
20130704,UMC,12,209.6172699,24.28042086,784.708244,44.49930917,0.310258281,9.376529125,9.686787406,14.59363345,1.309578302,8.8,12.2,18.5,6.9,10.5,342.7,4.8
20130704,UMC,13,723.6559,46.95958319,792.855656,47.93774668,0.031523458,15.16432891,15.19585237,31.76373082,2.045883558,7.4,11.9,15.7,6.8,8.9,33.0,16.9
20130704,UMC,14,152.8450123,14.80894222,516.0381241,43.30707643,3.397948543,49.4446496,52.84259814,0,0.538175823,4.6,24.2,15.5,13.6,8.8,23.1,19.9
20130704,UMC,15,190.8732731,71.45773308,180.0699922,10.17294672,0,6.236927228,6.236927228,65.22080586,0.097024121,1.4,6.9,6.5,4.0,3.7,5.2,358.2
20130704,UMC,16,307.4736471,58.53717758,338.9924832,8.647763317,0.679318889,36.28627078,36.96558967,21.57158791,2.014212978,1,7.5,8.7,4.3,5.0,330.0,1.2
20130810,UMC,1,210.7897338,27.71733645,189.832854,15.01475356,0.683997727,5.143830697,5.827828424,21.88950802,3.904652112,15.7480315,18.8,17.5,10.6,9.9,357.7,352.4
20130810,UMC,2,642.9344546,130.8913193,443.380715,0,0.86089969,65.63803947,66.49893916,64.39238014,23.15128087,5.68627451,17.8,16.0,10.1,9.1,356.8,339.9
20130810,UMC,3,183.3249538,41.62773093,396.2096304,36.0845401,6.956928194,17.08444983,24.04137802,17.5863529,3.694160661,27.83300199,21.7,16.6,12.3,9.4,325.3,345.9
20130810,UMC,4,240.1066685,70.35491444,930.3388029,0,2.421290399,39.45739004,41.87868044,28.476234,6.398079575,3.373015873,12.7,14.6,7.2,8.3,327.9,347.0
20130810,UMC,5,135.0400901,51.35098194,188.8661104,0,20.50298079,15.99568875,36.49866954,14.8523124,10.86299536,12.13872832,12.7,14.7,7.2,8.4,10.2,9.3
20130810,UMC,6,303.5867022,55.57652892,68.4629026,0,0.517032762,27.09390397,27.61093673,27.96559218,2.645422201,7.003891051,20.1,16.0,11.4,9.1,1.8,1.9
20130810,UMC,7,264.5608357,126.6742406,88.76361179,0,95.03801665,30.00226507,125.0402817,1.633958851,22.72841481,4.142011834,18.5,16.6,10.5,9.5,6.6,8.4
20130810,UMC,8,191.331576,67.66813817,262.2461534,0,9.051525343,27.81789031,36.86941566,30.79872252,10.73237112,8.661417323,13.4,17.9,7.6,10.1,357.3,1.9
20130810,UMC,9,192.7827214,24.70090017,307.4811837,23.05252254,3.711130475,3.949912968,7.661043443,17.03985673,0.14274475,6.349206349,29.5,24.9,16.5,14.0,137.1,158.7
20130810,UMC,10,93.64889516,15.51392491,243.3829376,22.15263731,0.878796983,4.794440058,5.673237041,9.840687865,-0.470702105,6.395348837,27.1,21.2,15.1,12.0,137.2,142.1
20130810,UMC,11,78.58914265,0.832335934,306.3466667,36.35743268,0,3.628604032,3.628604032,0,-0.314914133,20.9486166,22.9,12.8,12.9,7.3,26.6,17.0
20130810,UMC,12,174.8266075,6.424197924,388.3595133,40.60324564,0.018963255,4.909429704,4.928392959,1.495804965,0.534011282,22.4,12.2,18.5,6.9,10.5,342.7,4.8
20130810,UMC,13,97.53071114,0,310.566801,37.43848754,0,4.100748472,4.100748472,0,-0.327581524,10.75697211,11.9,15.7,6.8,8.9,33.0,16.9
20130810,UMC,14,210.2940122,10.25511248,326.1797689,31.70666147,0,6.498628162,6.498628162,3.756484314,0.710481874,13.61867704,24.2,15.5,13.6,8.8,23.1,19.9
20130810,UMC,15,158.4586664,63.35249576,154.9377428,3.432826196,7.928525694,45.4711644,53.39969009,9.952805665,3.562804275,0.779727096,6.9,6.5,4.0,3.7,5.2,358.2
