site,plot,_TYPE_,_FREQ_,aspect,SlopeDeg,PlotYOD,avgdbh,avgheight,avgscorch,OL,Litter,Ashdepth,PCntcover,PercentGravimetricSoilmoisture,DOC_fum,TDN_fum,DOC,TDN,MicrobialBiomassC,MicrobialBiomassTDN,MONTH,EFFLUX,RHcmbr,Tsoil_C,Tair,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,plot1,merger
FEF,101,7,12,,,,,,,,,,,,,,,,,,7,1.9258462216,34.792688231,11.198376466,32.100220841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,101
FEF,101,7,15,,,,,,,,,,,,,,,,,,8,3.3742672501,77.70421415,10.936718953,24.139147569,UBB,YES,UNBUR,2007,08/26/2013,FEF101,57,4.78,75.93225947,33.6874946,24.45583101,140.0737141,11.46667625,6.436680095,1.351074888,147.5557422,48.29212747,50.57755221,315.724913,38.23625859,36.48409962,3.106993916,639.8928666,223.7932014,228.2116893,1254.215038,155.5351824,73.41225326,11.64186647,822.2697612,300.7358345,268.4351648,1535.322281,150.3548863,103.4274982,18.79898,101,101
FEF,101,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2007,09/22/2012,FEF101,128,4.63,6.451002003,0.701782333,3.877828852,22.64637295,0.93471068,0.230444972,1.128791894,39.84436275,6.963142779,28.4375,191.9889706,5.143018326,8.767710613,2.383050213,142.0441176,6.322210066,32.43627451,582.8970588,38.55552516,37.74658096,4.581417896,168.2990196,12.35817834,41.6127451,645.8578431,0.286241794,36.37759847,6.183550126,101,101
FEF,102,7,12,,,,,,,,,,,,,,,,,,7,2.2852481981,39.181243026,11.157345264,34.678174177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,102
FEF,102,7,9,,,,,,,,,,,,,,,,,,8,2.9517684581,73.532889453,12.289601474,26.262883716,UBB,YES,UNBUR,2007,08/26/2013,FEF102,58,5.11,117.49755,76.75214614,49.82119889,146.8384548,13.06605278,3.99047826,4.131289582,143.0000471,28.51898564,49.90583309,258.6845889,2.366477273,15.25442407,6.477855172,625.5550609,186.7862094,171.1409658,881.19433,8.833161157,66.72959711,25.94252554,729.0543648,293.6953741,251.7741444,897.0401537,26.67665289,30.85278926,35.51556239,102,102
FEF,102,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2007,09/22/2012,FEF102,129,4.03,37.83353015,21.63393906,13.8763131,44.31336659,1.360391403,2.060769764,0.983437066,149.8816126,53.27894505,61.03691505,206.1003268,29.2611201,23.09725352,1.457967778,620.0027557,141.1340866,185.9815297,730.1021656,89.91022988,121.154657,7.031595063,253.3580356,422.9382517,5.244693493,1880.193718,165.42341,13.81290224,83.42434004,102,102
FEF,103,7,12,,,,,,,,,,,,,,,,,,7,2.5252924456,39.777246153,11.029942322,35.668528873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,103
FEF,103,7,12,,,,,,,,,,,,,,,,,,8,3.7622061607,73.043763011,11.119768142,26.654955229,UBB,YES,UNBUR,2006,08/26/2013,FEF103,59,4.83,55.3387969,20.36027239,17.4851889,87.12388955,10.17312533,4.064816441,0.642862972,124.5101351,35.93116554,36.58445946,178.3108108,31.43496622,21.67398649,1.697937523,586.5810811,185.3817568,191.9915541,863.2702703,177.3885135,1.245433483,7.73050573,750.1351351,243.1790541,205.3648649,891.2466216,123.8952703,77.16554054,11.28015629,103,103
FEF,103,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2006,09/22/2012,FEF103,130,4.93,45.66975235,27.57451259,24.57014013,60.93578625,7.64798573,4.723234451,3.107269813,312.8232501,142.3415842,162.494369,595.5069068,50.89151493,28.34218277,4.508189201,1128.851216,496.8163117,659.7815335,2077.448242,197.2478894,66.96285912,13.25565144,1361.316312,642.7878339,799.2170174,2011.652123,222.5205708,121.8655809,20.22547784,103,103
FEF,104,7,9,,,,,,,,,,,,,,,,,,7,2.2013259929,23.58213451,11.871231587,35.391100989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104
