site,plot,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,year,YSD,Carbs,Cellu,BURNIND,month,efflux,Tsoil_C,RHcmbr,MicrobialBiomassC,MicrobialBiomassTDN,PCntcover,PercentGravimetricSoilmoisture,SlopeDeg,aspect,avgdbh,avgheight,avgscorch,UNH_SampleID,UNH_ShortName,day,Aromatic,Lignin,Lipid,Polysaccharide,NBearing,Protein,Phenol,Unknown
FEF,101,UBB,YES,UNBUR,2007,09/22/2012,FEF101,128,4.63,5.872448056,0.637983939,876.6144402,20.27543937,0.849736981,0.209495429,0.978823023,36.22214795,6.330129799,25.85227273,174.5354278,4.675471205,7.970646012,2.166409285,83.98016885,5.747463696,23.72134469,522.8241979,34.05485379,49.77552467,5.690794127,108.939885,11.23470758,37.82976827,552.0087049,0.260219813,67.05227305,5.420043102,2013,6,44.192793962,11.005601004,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,102,UBB,YES,UNBUR,2007,09/22/2012,FEF102,129,4.03,34.39411832,19.66721733,12.61483009,40.28487872,1.236719458,1.873427058,0.894033697,136.2560115,48.43540459,55.4881046,187.3639334,26.60101828,20.9975032,1.325425253,563.6388688,128.3037151,169.0741179,1054.590096,81.73657262,110.1405973,25.14910369,130.9273114,536.6046575,4.767903175,1118.061499,257.7169634,12.55718386,55.52331631,2013,6,157.2535147,75.03642287,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,103,UBB,YES,UNBUR,2006,09/22/2012,FEF103,130,4.93,41.51795668,25.06773872,22.33649103,55.39616932,6.9527143,4.293849501,2.824790739,284.3847728,129.4014402,147.7221536,541.3699153,46.26501357,25.7656207,4.098353819,1275.524294,410.5214514,643.311134,2455.873393,177.5017827,103.1966957,15.42164118,1559.953261,506.6227315,723.081081,2553.528482,172.7620076,94.34587987,20.59440889,2013,7,310.1503935,175.66645377,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,104,UBB,YES,UNBUR,2006,09/22/2012,FEF104,131,4.15,57.84012802,24.63721787,22.04106462,85.62195188,8.940934998,9.677009099,1.135890267,115.0574713,36.95375882,42.81534348,194.9881711,31.89148116,27.78075945,1.78172651,402.5989824,112.1383593,191.7341837,604.0196717,120.396693,126.1959693,13.98082128,438.0603268,236.5761744,262.0653316,629.9676322,180.2502371,170.3478802,32.40637291,2013,7,142.83823075,68.84523998,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,105,UBB,YES,UNBUR,2009.6666667,09/22/2012,FEF105,132,4.37,19.24134223,2.886947269,21.09705963,72.95798639,2.787786797,2.993190631,1.027455206,47.62104446,15.04189935,61.18808341,229.2855212,14.85938313,25.23238825,2.244795798,141.9495942,59.40615505,230.7888848,920.5176768,61.77886589,34.2315399,3.545593014,169.988022,44.60062587,237.3563911,953.2589991,63.43245549,45.2314794,4.080152183,2013,3.3333333333,72.85343271,29.90128248,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,106,UBN,NO,UNBUR,0,09/22/2012,FEF106,133,4.63,21.33168221,14.98250465,14.45639577,28.42817352,3.408109382,2.272192492,1.885205544,146.5391062,38.68047249,52.09255383,261.3462968,9.777960526,12.45439593,2.977706944,2535.246249,737.0706914,1168.966993,4304.932563,90.11844486,32.44480585,8.876242289,3087.616108,955.7456683,1301.792743,4230.648086,160.0136437,494.5241438,11.15410659,2013,0,158.99350213,48.458433016,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,107,UBB,YES,UNBUR,2005,09/22/2012,FEF107,134,4.6,13.95574324,5.957405782,3.398908761,24.67278721,1.313464051,0.715339262,0.446399995,32.73638236,12.6114633,20.11381529,107.4179709,5.843793208,2.075717969,1.209219208,155.8244943,10.79307812,7.942447287,304.8295408,0.43906268,17.75910243,2.266956132,218.1337043,20.19688328,14.03689941,322.6894443,19.60709759,45.72582262,2.2440729,2013,8,34.812100329,18.455256508,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,108,UBB,YES,UNBUR,2005,09/22/2012,Plot108,141,3.96,20.93290672,2.659240953,6.015293624,52.8769484,3.373120127,2.552569352,1.476887891,70.61835388,4.803130914,5.241596527,377.1778876,3.68260768,92.35009839,2.234913201,432.6661223,21.22481367,35.27515508,1331.512634,49.53211917,22.67117234,15.19678269,563.8548583,378.0303892,50.67676224,800.0559309,501.6140197,301.6675629,37.14199325,2013,8,162.96845227,8.485738594,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,108,UBB,YES,UNBUR,2005,09/22/2012,Plot108-,142,4.65,30.10499863,12.5313699,4.601017442,42.36613959,4.835332492,3.465801425,1.333009355,213.5750571,69.86581521,38.68565687,353.9936594,14.62622674,15.16567584,2.093787323,918.2860484,279.6182171,177.9514957,1601.883112,196.8475953,96.90203103,10.66499783,1199.609502,280.200591,157.2676613,1894.180556,130.0930137,88.68402679,4.33474709,2013,8,228.74073294,84.49204195,NO,9,,,,,,,,,,,,,,,,,,,,,,,
FEF,109,UBB,YES,UNBUR,2006,09/22/2012,Plot109,143,4.55,53.71984038,22.97897199,22.57935069,107.8285642,14.70681111,6.764337802,1.494649439,56.42068356,10.24866739,17.78679327,147.7055852,0.999899987,5.566478895,2.568557516,174.3707862,26.50493397,49.6554725,496.8011203,52.30309157,,7.471881804,205.5965716,59.26098521,42.07369244,555.4379691,91.27364244,57.41696015,8.980858334,2013,7,61.987162455,11.248567377,NO,9,,,,,,,,,,,,,,,,,,,,,,,
